,Date,Open,High,Low,Close,Volume,T3_Vol_Diff,T3_Close_Diff,T3_Open_Diff,T2_Vol_Diff,T2_Close_Diff,T2_Open_Diff,T1_Vol_Diff,T1_Close_Diff,T1_Open_Diff,Prior_Day_Vert_Delta_Ratio,Retracement_Signal,Prior_Day_Derivative,T+1_Close,T+2_Close,T+3_Close
0,1993-12-06,46.78125,46.9375,46.78125,46.875,99500,279700,-0.46875,-0.1875,252500,-0.34375,-0.28125,206500,-0.15625,-0.28125,0.7142857142857143,0.6,-0.415571854993052,46.84375,46.84375,46.6875
1,1993-12-07,46.875,46.90625,46.78125,46.84375,88800,263200,-0.3125,-0.375,217200,-0.125,-0.375,10700,0.03125,-0.09375,0.8,0.5,0.3271946967961522,46.84375,46.6875,46.59375
2,1993-12-08,46.84375,46.84375,46.78125,46.84375,146700,159300,-0.125,-0.34375,-47200,0.03125,-0.0625,-57900,0.0,0.03125,0.5,1.0,0.0,46.6875,46.59375,46.875
3,1993-12-09,46.84375,46.90625,46.625,46.6875,416500,-317000,0.1875,-0.0625,-327700,0.15625,0.03125,-269800,0.15625,0.0,4.5,0.2222222222222222,0.0,46.59375,46.875,46.53125
4,1993-12-10,46.71875,46.71875,46.5,46.59375,412900,-324100,0.25,0.15625,-266200,0.25,0.125,3600,0.09375,0.125,0.7777777777777778,0.4285714285714286,-0.7173560908995228,46.875,46.53125,46.46875
5,1993-12-13,46.59375,46.875,46.53125,46.875,273200,-126500,-0.03125,0.25,143300,-0.1875,0.25,139700,-0.28125,0.125,1.5714285714285714,1.0,0.7780731968879212,46.53125,46.46875,46.625
6,1993-12-14,46.90625,46.90625,46.53125,46.53125,41900,374600,0.15625,-0.0625,371000,0.0625,-0.1875,231300,0.34375,-0.3125,1.0909090909090908,0.0,0.9719379013633127,46.46875,46.625,46.5625
7,1993-12-15,46.59375,46.625,46.46875,46.46875,82600,330300,0.125,0.125,190600,0.40625,0.0,-40700,0.0625,0.3125,0.4166666666666667,0.0,-0.3271946967961522,46.625,46.5625,46.625
8,1993-12-16,46.65625,46.65625,46.5625,46.625,78200,195000,0.25,-0.0625,-36300,-0.09375,0.25,4400,-0.15625,-0.0625,0.6,0.6666666666666667,-0.24740395925452294,46.5625,46.625,46.46875
9,1993-12-17,46.40625,46.59375,46.375,46.5625,104700,-62800,-0.03125,0.5,-22100,-0.09375,0.1875,-26500,0.0625,0.25,2.3333333333333335,0.8571428571428572,-0.9589242746631385,46.625,46.46875,46.78125
10,1993-12-20,46.53125,46.65625,46.5,46.625,68800,13800,-0.15625,0.0625,9400,0.0,0.125,35900,-0.0625,-0.125,0.7142857142857143,0.8,-0.5646424733950354,46.46875,46.78125,46.75
11,1993-12-21,46.5625,46.5625,46.40625,46.46875,205700,-127500,0.15625,0.09375,-101000,0.09375,-0.15625,-136900,0.15625,-0.03125,1.0,0.4,0.8414709848078965,46.78125,46.75,47.0
12,1993-12-22,46.59375,46.8125,46.5,46.78125,410300,-305600,-0.21875,-0.1875,-341500,-0.15625,-0.0625,-204600,-0.3125,-0.03125,2.0,0.9,0.9092974268256817,46.75,47.0,47.09375
13,1993-12-23,46.75,46.84375,46.6875,46.75,533800,-465000,-0.125,-0.21875,-328100,-0.28125,-0.1875,-123500,0.03125,-0.15625,0.5,0.4,-0.0,47.0,47.09375,47.03125
14,1993-12-27,46.75,47.0,46.75,47.0,447100,-241400,-0.53125,-0.1875,-36800,-0.21875,-0.15625,86700,-0.25,0.0,1.6,1.0,0.0,47.09375,47.03125,46.84375
15,1993-12-28,46.96875,47.125,46.9375,47.09375,880600,-470300,-0.3125,-0.375,-346800,-0.34375,-0.21875,-433500,-0.09375,-0.21875,0.75,0.8333333333333334,-0.479425538604203,47.03125,46.84375,46.59375
16,1993-12-29,47.125,47.15625,47.0,47.03125,266700,267100,-0.28125,-0.375,180400,-0.03125,-0.375,613900,0.0625,-0.15625,0.8333333333333334,0.19999999999999996,0.6816387600233341,46.84375,46.59375,46.46875
17,1993-12-30,47.0,47.0,46.75,46.84375,219900,227200,0.15625,-0.25,660700,0.25,-0.03125,46800,0.1875,0.125,1.6,0.375,-0.9954079577517649,46.59375,46.46875,46.65625
18,1993-12-31,46.9375,47.0,46.5625,46.59375,312900,567700,0.5,0.03125,-46200,0.4375,0.1875,-93000,0.25,0.0625,1.75,0.0714285714285714,-0.8084964038195901,46.46875,46.65625,46.75
19,1994-01-03,46.59375,46.65625,46.40625,46.46875,960900,-694200,0.5625,0.53125,-741000,0.375,0.40625,-648000,0.125,0.34375,0.5714285714285714,0.25,-0.35567515786853215,46.65625,46.75,46.75
20,1994-01-04,46.53125,46.65625,46.46875,46.65625,164300,55600,0.1875,0.46875,148600,-0.0625,0.40625,796600,-0.1875,0.0625,0.75,1.0,0.8414709848078965,46.75,46.75,47.03125
21,1994-01-05,46.71875,46.78125,46.53125,46.75,710900,-398000,-0.15625,0.21875,250000,-0.28125,-0.125,-546600,-0.09375,-0.1875,1.3333333333333333,0.875,-0.24740395925452294,46.75,47.03125,47.59375
22,1994-01-06,46.8125,46.84375,46.6875,46.75,201000,759900,-0.28125,-0.21875,-36700,-0.09375,-0.28125,509900,0.0,-0.09375,0.625,0.4,0.9092974268256817,47.03125,47.59375,47.5
23,1994-01-07,46.84375,47.0625,46.71875,47.03125,775500,-611200,-0.375,-0.3125,-64600,-0.28125,-0.125,-574500,-0.28125,-0.03125,2.2,0.9090909090909091,0.1411200080598672,47.59375,47.5,47.34375
